iter	Passed	Remaining
0	2	2690
1	5	2744
2	7	2548
3	9	2475
4	11	2367
5	13	2297
6	16	2274
7	18	2263
8	21	2335
9	22	2274
10	24	2229
11	26	2196
12	28	2171
13	30	2144
14	32	2122
15	34	2118
16	36	2122
17	38	2107
18	40	2092
19	42	2084
20	44	2072
21	46	2071
22	48	2067
23	51	2095
24	55	2159
25	60	2249
26	64	2328
27	67	2348
28	69	2336
29	74	2414
30	77	2422
31	80	2430
32	84	2464
33	88	2527
34	92	2561
35	98	2643
36	106	2783
37	111	2819
38	115	2836
39	117	2815
40	119	2797
41	122	2783
42	124	2764
43	126	2740
44	129	2749
45	132	2743
46	134	2733
47	137	2721
48	139	2711
49	142	2705
50	145	2709
51	148	2714
52	155	2774
53	158	2780
54	162	2786
55	164	2778
56	167	2771
57	169	2759
58	172	2746
59	174	2736
60	177	2729
61	179	2716
62	181	2703
63	184	2694
64	187	2700
65	190	2697
66	192	2686
67	195	2682
68	198	2675
69	202	2696
70	206	2700
71	208	2691
72	211	2681
73	213	2674
74	216	2666
75	218	2654
76	220	2642
77	223	2636
78	225	2624
79	226	2610
80	229	2600
81	231	2586
82	232	2573
83	235	2563
84	237	2561
85	239	2550
86	242	2541
87	244	2532
88	246	2525
89	248	2517
90	252	2518
91	254	2509
92	258	2521
93	261	2518
94	265	2528
95	269	2533
96	272	2533
97	274	2525
98	276	2516
99	278	2509
100	280	2500
101	283	2500
102	286	2493
103	288	2488
104	291	2481
105	293	2474
106	295	2467
107	298	2463
108	301	2463
109	303	2458
110	306	2455
111	309	2451
112	311	2444
113	314	2447
114	317	2443
115	320	2439
116	322	2434
117	327	2447
118	332	2464
119	336	2466
120	338	2461
121	342	2463
122	345	2459
123	347	2456
124	350	2450
125	352	2442
126	354	2433
127	356	2426
128	358	2418
129	360	2413
130	362	2406
131	364	2399
132	366	2391
133	368	2383
134	370	2375
135	372	2368
136	375	2362
137	377	2359
138	380	2354
139	382	2349
140	384	2344
141	387	2339
142	389	2334
143	392	2334
144	394	2327
145	397	2326
146	400	2323
147	404	2327
148	407	2327
149	409	2322
150	412	2318
151	415	2315
152	417	2313
153	420	2310
154	423	2308
155	425	2302
156	427	2297
157	430	2291
158	432	2285
159	434	2280
160	436	2274
